Gene.ID,Gene_name,Expression,Log2FC,FDR,,
ENSOARG00000014648,RSAD2,up_regulated,11.0631,0,,
ENSOARG00000002839,-,up_regulated,11.0064,0,,
ENSOARG00000010231,MX2,up_regulated,10.3508,0,,
ENSOARG00000020741,TNFSF10,up_regulated,10.285,0,,
ENSOARG00000011372,BATF2,up_regulated,9.74292,2.81E-37,,
ENSOARG00000017418,ZBP1,up_regulated,9.69336,0,,
ENSOARG00000002173,PLAC8,up_regulated,9.69008,4.44E-38,,
ENSOARG00000020215,-,up_regulated,9.3368,0,,
ENSOARG00000015072,-,up_regulated,9.21411,0,,
ENSOARG00000016787,-,up_regulated,9.03181,0,,
ENSOARG00000013440,IFI44,up_regulated,8.99588,0,,
ENSOARG00000015169,IFIT2,up_regulated,8.59231,0,,
ENSOARG00000002372,-,up_regulated,8.53865,0,,
ENSOARG00000007233,ISG15,up_regulated,8.26954,1.29E-28,,
ENSOARG00000015297,GBP5,up_regulated,8.2136,0,,
ENSOARG00000002881,OAS1,up_regulated,8.19787,0,,
ENSOARG00000001138,-,up_regulated,8.14101,0,,
ENSOARG00000014731,DDX58,up_regulated,8.13334,0,,
ENSOARG00000015414,-,up_regulated,7.98557,0,,
ENSOARG00000025182,-,up_regulated,7.91551,0,,
ENSOARG00000010964,ISG20,up_regulated,7.7473,0,,
ENSOARG00000001815,-,up_regulated,7.58923,0,,
ENSOARG00000010283,MX1,up_regulated,7.26829,7.90E-29,,
ENSOARG00000014800,IFIT3,up_regulated,7.22946,0,,
ENSOARG00000015177,IFIT1,up_regulated,7.09395,0,,
ENSOARG00000007427,EPSTI1,up_regulated,6.82216,0,,
ENSOARG00000020472,CLDN1,up_regulated,6.75561,0,,
ENSOARG00000018834,NLRC5,up_regulated,6.63538,0,,
ENSOARG00000015432,-,up_regulated,6.56101,0,,
ENSOARG00000009508,KIF5C,up_regulated,6.52684,0,,
ENSOARG00000005617,TNFSF13B,up_regulated,6.50338,0,,
ENSOARG00000009097,OAS2,up_regulated,6.23549,4.06E-26,,
ENSOARG00000013421,IFI44L,up_regulated,6.15896,0,,
ENSOARG00000020495,RTP4,up_regulated,6.09077,7.57E-26,,
ENSOARG00000014413,-,up_regulated,6.08025,0,,
ENSOARG00000016748,-,up_regulated,6.04746,0,,
ENSOARG00000008349,TACSTD2,up_regulated,6.01119,0,,
ENSOARG00000018022,LMO2,up_regulated,6.00543,6.53E-28,,
ENSOARG00000006626,IRF7,up_regulated,5.93606,0,,
ENSOARG00000015974,SLC15A3,up_regulated,5.84614,0,,
ENSOARG00000000888,XAF1,up_regulated,5.84211,0,,
ENSOARG00000007065,MAP1LC3C,up_regulated,5.76795,0,,
ENSOARG00000006142,IFIH1,up_regulated,5.7369,0,,
ENSOARG00000020160,PARP14,up_regulated,5.71396,0,,
ENSOARG00000015226,-,up_regulated,5.61449,2.13E-10,,
ENSOARG00000018615,SAMD9,up_regulated,5.61442,0,,
ENSOARG00000000942,RNF213,up_regulated,5.48393,0,,
ENSOARG00000005557,-,up_regulated,5.48256,0,,
ENSOARG00000016510,-,up_regulated,5.45478,0,,
ENSOARG00000000530,HERC5,up_regulated,5.438,0,,
ENSOARG00000015234,PARM1,up_regulated,5.41763,0,,
ENSOARG00000016617,TRANK1,up_regulated,5.32797,0,,
ENSOARG00000013525,PDCD1LG2,up_regulated,5.31728,1.68E-26,,
ENSOARG00000011007,PLA2G7,up_regulated,5.06301,1.27E-39,,
ENSOARG00000019512,DENND2D,up_regulated,4.92237,8.09E-39,,
ENSCVR000000000000001,SOCS1,up_regulated,4.90871,0,,
ENSOARG00000007866,PSMB9,up_regulated,4.82,0,,
ENSOARG00000018341,-,up_regulated,4.68788,7.26E-20,,
ENSOARG00000014636,CMPK2,up_regulated,4.68532,0,,
ENSOARG00000002744,-,up_regulated,4.66182,7.87E-07,,
