"","x"
"1","Magnesio"
"2","Proteine.Totali"
"3","Azotemia.BUN."
"4","Creatina.Chinasi..CK."
"5","Colesterolo"
"6","IFN_y"
"7","IP.10"
"8","seg10BTVPCRcopiesper1ml_new"
"9","BTM.mitotic.cell.cycle.in.stimulated.CD4.T.cells..M4.9."
"10","BTM.combine..T.cell.activation..III...M7.4..T.cell.differentiation.via.ITK.and.PKC..M18..."
"11","BTM.E2F1.targets..Q3...M10.0."
"12","BTM.blood.coagulation..M11.1."
"13","BTM.T.cell.surface..activation..M36."
"14","BTM.combine..myeloid..dendritic.cell.activation.via.NFkB..II...M43.1..inflammasome.receptors.and.signaling..M53..."
"15","BTM.leukocyte.activation.and.migration..M45."
"16","BTM.transcription.regulation.in.cell.development..M49."
"17","BTM.combine..T...B.cell.development..activation..M62.0..T.cell.surface.signature..S0..."
"18","BTM.TBA..M66."
"19","BTM.TBA..M72.0."
"20","BTM.enriched.in.myeloid.cells.and.monocytes..M81."
"21","BTM.transmembrane.transport..I...M87."
"22","BTM.putative.targets.of.PAX3..M89.0."
"23","BTM.growth.factor.induced..enriched.in.nuclear.receptor.subfamily.4..M94."
"24","BTM.combine..enriched.in.antigen.presentation..II...M95.0..enriched.in.antigen.presentation..III...M95.1..."
"25","BTM.phosphatidylinositol.signaling.system..M101."
"26","BTM.combine..golgi.membrane..I...M113..enriched.in.monocytes..surface...M118.1..."
"27","BTM.enriched.in.monocytes..IV...M118.0."
"28","BTM.TBA..M121."
"29","BTM.TBA..M128."
"30","BTM.combine..TBA..M137..TBA..M180..."
"31","BTM.cell.cycle..ATP.binding..M144."
"32","BTM.intracellular.transport..M147."
"33","BTM.TBA..M185."
"34","BTM.TBA..M186."
"35","BTM.combine..chaperonin.mediated.protein.folding..I...M204.0..chaperonin.mediated.protein.folding..II...M204.1..."
"36","BTM.regulation.of.transcription..transcription.factors..M213."
"37","BTM.cell.cycle..mitotic.phase..M230."
"38","BTM.transcription.elongation..R..polymerase.II..M234."
"39","BTM.translation.initiation.factor.3.complex..M245."
"40","BTM.B.cell.surface.signature..S2."
"41","BTM.DC.surface.signature..S5."
"42","BTM.Naive.B.cell.surface.signature..S8."
