"","x"
"1","Glucosio"
"2","lung_pos_cells"
"3","BTM.combine..extracellular.matrix..I...M2.0..extracellular.matrix..III...M2.2..."
"4","BTM.cell.cycle..I...M4.1."
"5","BTM.cell.junction..GO...M4.13."
"6","BTM.integrin.mediated.leukocyte.migration..M39."
"7","BTM.activated.dendritic.cells..M67."
"8","BTM.TBA..M72.2."
"9","BTM.D..repair..M76."
"10","BTM.proinflammatory.dendritic.cell..myeloid.cell.response..M86.1."
"11","BTM.cell.cycle..III...M103."
"12","BTM.mitosis..TF.motif.CCAATNNSNNNGCG...M169."
"13","BTM.TBA..M174."
"14","BTM.platelet.activation...actin.binding..M196."
"15","BTM.TBA..M229."
"16","BTM.respiratory.electron.transport.chain..mitochondrion...M231."
"17","BTM.TBA..M248."
"18","BTM.Memory.B.cell.surface.signature..S9."
