"","x"
"1","Magnesio"
"2","Proteine.Totali"
"3","Trigliceridi"
"4","Bilirubina.totale"
"5","Amilasi"
"6","IFN_y"
"7","IL.6"
"8","IP.10"
"9","MCP.1"
"10","percentpositivenucleiFOXP3cortexnofollicles"
"11","percentpositivenucleiFOXP3wholelymphnode"
"12","seg10BTVPCRcopiesper1ml_new"
"13","lung_pos_cells"
"14","infected_skin_deep_dermis_pos_cells"
"15","BTM.extracellular.matrix..II...M2.1."
"16","BTM.mitotic.cell.cycle.in.stimulated.CD4.T.cells..M4.11."
"17","BTM.enriched.in.NK.cells..I...M7.2."
"18","BTM.T.cell.activation..II...M7.3."
"19","BTM.combine..T.cell.activation..III...M7.4..T.cell.differentiation.via.ITK.and.PKC..M18..."
"20","BTM.B.cell.development..M9."
"21","BTM.combine..innate.activation.by.cytosolic.D..sensing..M13..chemokines.and.inflammatory.molecules.in.myeloid.cells..M86.0..."
"22","BTM.mismatch.repair..II...M22.1."
"23","BTM.TLR8.BAFF.network..M25."
"24","BTM.integrin.mediated.leukocyte.migration..M39."
"25","BTM.combine..myeloid..dendritic.cell.activation.via.NFkB..II...M43.1..inflammasome.receptors.and.signaling..M53..."
"26","BTM.enriched.in.B.cells..IV...M47.3."
"27","BTM.enriched.in.B.cells..V...M47.4."
"28","BTM.TBA..M66."
"29","BTM.activated.dendritic.cells..M67."
"30","BTM.combine..RIG.1.like.receptor.signaling..M68..viral.sensing...immunity..IRF2.targets.network..II...M111.1..type.I.interferon.response..M127..innate.antiviral.response..M150..Activated..LPS..dendritic.cell.surface.signature..S11..antiviral.IFN.signature..M75..TBA..M131..enriched.in.activated.dendritic.cells..II...M165..."
"31","BTM.TBA..M72.1."
"32","BTM.D..repair..M76."
"33","BTM.platelet.activation.and.degranulation..M85."
"34","BTM.proinflammatory.dendritic.cell..myeloid.cell.response..M86.1."
"35","BTM.TBA..M93."
"36","BTM.phosphatidylinositol.signaling.system..M101."
"37","BTM.complement.activation..I...M112.0."
"38","BTM.combine..golgi.membrane..I...M113..enriched.in.monocytes..surface...M118.1..."
"39","BTM.cytokines...recepters.cluster..M115."
"40","BTM.TBA..M121."
"41","BTM.enriched.in.membrane.proteins..M124."
"42","BTM.inositol.phosphate.metabolism..M129."
"43","BTM.TBA..M148."
"44","BTM.enriched.in.neutrophils..II...M163."
"45","BTM.TBA..M186."
"46","BTM.TBA..M201."
"47","BTM.TBA..M203."
"48","BTM.TBA..M205."
"49","BTM.proteasome..M226."
"50","BTM.TBA..M241."
"51","BTM.TBA..M242."
"52","BTM.enriched.in.nuclear.pore.complex.interacting.proteins..M247."
"53","BTM.DC.surface.signature..S5."
"54","BTM.Naive.B.cell.surface.signature..S8."
