"","x"
"1","Calcemia"
"2","tongue_pos_cells"
"3","BTM.T.cell.differentiation..M14."
"4","BTM.Ran.mediated.mitosis..M15."
"5","BTM.T.cell.differentiation..Th2...M19."
"6","BTM.myeloid..dendritic.cell.activation.via.NFkB..I...M43.0."
"7","BTM.leukocyte.activation.and.migration..M45."
"8","BTM.TBA..M48."
"9","BTM.transcription.regulation.in.cell.development..M49."
"10","BTM.nuclear.pore.complex..M106.0."
"11","BTM.enriched.for.promoter.motif..TCACGTGAY..putative.SREBF1.targets...M178."
"12","BTM.CD4.T.cell.surface.signature.Th2.stimulated..S7."
