"","x"
"1","Creatina.Chinasi..CK."
"2","Trigliceridi"
"3","Colesterolo"
"4","Amilasi"
"5","IFN_y"
"6","IL.6"
"7","IP.10"
"8","percentpositivenucleiFOXP3cortexnofollicles"
"9","seg10BTVPCRcopiesper1ml_new"
"10","BTM.mitotic.cell.cycle.in.stimulated.CD4.T.cells..M4.11."
"11","BTM.T.cell.activation..II...M7.3."
"12","BTM.blood.coagulation..M11.1."
"13","BTM.T.cell.differentiation..M14."
"14","BTM.T.cell.differentiation..Th2...M19."
"15","BTM.platelet.activation..I...M32.0."
"16","BTM.combine..cytoskeletal.remodeling..M32.8..TBA..M192..."
"17","BTM.integrin.mediated.leukocyte.migration..M39."
"18","BTM.combine..myeloid..dendritic.cell.activation.via.NFkB..II...M43.1..inflammasome.receptors.and.signaling..M53..."
"19","BTM.leukocyte.activation.and.migration..M45."
"20","BTM.enriched.in.B.cells..IV...M47.3."
"21","BTM.enriched.in.activated.dendritic.cells.monocytes..M64."
"22","BTM.TBA..M66."
"23","BTM.activated.dendritic.cells..M67."
"24","BTM.combine..RIG.1.like.receptor.signaling..M68..viral.sensing...immunity..IRF2.targets.network..II...M111.1..type.I.interferon.response..M127..innate.antiviral.response..M150..Activated..LPS..dendritic.cell.surface.signature..S11..antiviral.IFN.signature..M75..TBA..M131..enriched.in.activated.dendritic.cells..II...M165..."
"25","BTM.enriched.in.myeloid.cells.and.monocytes..M81."
"26","BTM.integrins.and.cell.adhesion..M84."
"27","BTM.proinflammatory.dendritic.cell..myeloid.cell.response..M86.1."
"28","BTM.putative.targets.of.PAX3..M89.0."
"29","BTM.TBA..M93."
"30","BTM.growth.factor.induced..enriched.in.nuclear.receptor.subfamily.4..M94."
"31","BTM.phosphatidylinositol.signaling.system..M101."
"32","BTM.complement.activation..I...M112.0."
"33","BTM.cytokines...recepters.cluster..M115."
"34","BTM.enriched.in.membrane.proteins..M124."
"35","BTM.cell.cycle..ATP.binding..M144."
"36","BTM.TBA..M148."
"37","BTM.enriched.in.neutrophils..II...M163."
"38","BTM.TBA..M186."
"39","BTM.TBA..M201."
"40","BTM.TBA..M203."
"41","BTM.translation.initiation.factor.3.complex..M245."
"42","BTM.enriched.in.nuclear.pore.complex.interacting.proteins..M247."
"43","BTM.TBA..M248."
"44","BTM.B.cell.surface.signature..S2."
"45","BTM.DC.surface.signature..S5."
"46","BTM.Naive.B.cell.surface.signature..S8."
"47","BTM.Memory.B.cell.surface.signature..S9."
