"","x"
"1","Proteine.Totali"
"2","Bilirubina.totale"
"3","BTM.enriched.in.monocytes..I...M4.15."
"4","BTM.enriched.in.NK.cells..I...M7.2."
"5","BTM.combine..innate.activation.by.cytosolic.D..sensing..M13..chemokines.and.inflammatory.molecules.in.myeloid.cells..M86.0..."
"6","BTM.AP.1.transcription.factor.network..M20."
"7","BTM.combine..KLF12.targets.network..M32.3..CORO1A.DEF6.network..II...M32.4..."
"8","BTM.combine..T...B.cell.development..activation..M62.0..T.cell.surface.signature..S0..."
"9","BTM.TBA..M72.1."
"10","BTM.enriched.in.monocytes..III...M73."
"11","BTM.D..repair..M76."
"12","BTM.transmembrane.transport..I...M87."
"13","BTM.complement.activation..II...M112.1."
"14","BTM.combine..golgi.membrane..I...M113..enriched.in.monocytes..surface...M118.1..."
"15","BTM.enriched.in.monocytes..IV...M118.0."
"16","BTM.TBA..M121."
"17","BTM.combine..chaperonin.mediated.protein.folding..I...M204.0..chaperonin.mediated.protein.folding..II...M204.1..."
"18","BTM.TBA..M214."
"19","BTM.proteasome..M226."
"20","BTM.TBA..M242."
"21","BTM.CD4.T.cell.surface.signature.Th2.stimulated..S7."
