"","logFC","AveExpr","t","P.Value","adj.P.Val","z.std"
"ENSOARG00000013440",4.58940019880511,8.33173519667871,38.706576356527,7.71992812413903e-24,6.31258522710848e-20,10.0671282472351
"ENSOARG00000006315",2.27622055477369,10.4524517477604,31.5794872977869,3.86092233548498e-22,1.57853809686304e-18,9.674734564333
"ENSOARG00000014731",6.55532383451401,5.90725060914026,31.2531482576994,8.98642795109804e-22,2.44940071187096e-18,9.58793644456531
"ENSOARG00000003341",5.77072435768114,7.34593568619241,31.6809854443073,1.4683434964572e-21,3.00166119263264e-18,9.53713378935764
"ENSOARG00000010283",4.34696572874567,10.2666102803946,32.5951448202826,3.58700382281441e-21,5.20697379879305e-18,9.44403317575065
"ENSOARG00000013903",1.98003906040342,9.58005233178919,28.513740182731,3.82069741870592e-21,5.20697379879305e-18,9.4374203210444
"ENSOARG00000009740",3.81873085962747,6.74132707605271,29.2797286628221,3.53409826595544e-20,4.09797743773199e-17,9.20137147930526
"ENSOARG00000000530",3.4278603340484,8.94041174274195,27.1649442980933,4.0092722883522e-20,4.09797743773199e-17,9.18780813109309
"ENSOARG00000020495",3.92374012964775,7.26593671901977,25.5660305282786,5.93350824357639e-20,5.39092187863601e-17,9.14553563559957
"ENSOARG00000013421",4.02960899712001,8.68572488258104,25.3726131196332,8.31886933592585e-20,6.80233945598657e-17,9.10894270470648
"ENSOARG00000007233",5.47313051663169,7.0945407506498,25.4905188429669,1.22120501554815e-19,9.03385677057295e-17,9.06719476310042
"ENSOARG00000007427",3.51383568484265,10.1202519233383,25.8493540893812,1.32574637699493e-19,9.03385677057295e-17,9.05823807394269
"ENSOARG00000002881",5.47505471952574,6.43019631499285,24.6141081332466,1.5324017801893e-19,9.63880719739072e-17,9.04242061091167
"ENSOARG00000015177",4.99606267658761,9.22825582336957,25.0802887324068,1.79598784473626e-19,1.04898518617203e-16,9.02505886687294
"ENSOARG00000014636",3.44611363403669,8.60018259904109,24.4542637642633,2.53238470431621e-19,1.38048731514624e-16,8.98736067857629
"ENSOARG00000000942",3.94299475281149,9.11037111246402,31.4208120270672,8.86724475799182e-19,4.5317162741312e-16,8.84853899881649
"ENSOARG00000004443",2.06574718483044,9.68685585503715,23.5925684953091,1.07991680137055e-18,5.19439981459234e-16,8.8265110541835
"ENSOARG00000006142",3.42179601158764,9.45749631019662,27.2602012653866,2.45166157871864e-18,1.11373537384346e-15,8.73430160249431
"ENSOARG00000020656",1.97299388222867,8.30736373857519,23.0430481778405,5.19250266572948e-18,2.23468917356158e-15,8.64906072790579
"ENSOARG00000020160",2.57857956109372,11.0604966254009,23.9861309172819,9.28224607265704e-18,3.79504630680583e-15,8.58251322007262
"ENSOARG00000016787",5.0275516823093,3.30739083384514,21.7881239688138,1.06621333403025e-17,4.07520386246629e-15,8.56656110069754
"ENSOARG00000014800",4.88464288310201,8.34693799930133,21.1120050702708,1.09642270972555e-17,4.07520386246629e-15,8.56334180518432
"ENSOARG00000010231",7.87109136962487,6.23121108068835,22.8421897010424,2.05777229636879e-17,7.31582785539462e-15,8.49048459700522
"ENSOARG00000000888",3.98569741047191,6.36722240636857,19.8491565894849,3.93711809291691e-17,1.34140894357423e-14,8.41475652096319
