"","logFC","logCPM","F","PValue","FDR","all_gene_names$gene_name[match(rownames(TT$table), all_gene_names$sheep_ID)]"
"ENSOARG00000018303",6.11584128386355,6.53523029325942,768.275266624489,5.38913366139068e-26,1.45797622075264e-21,NA
"ENSOARG00000008675",7.81458866840554,7.5713579489677,483.814008931888,1.4813364622378e-22,1.60029038215281e-18,NA
"ENSOARG00000005821",3.8361962882215,6.74203280066455,478.666824088661,1.77455132197029e-22,1.60029038215281e-18,"PMAIP1"
"ENSOARG00000008697",8.56306428868982,7.81563267687823,430.759221772176,1.04535681056736e-21,7.07027078827231e-18,NA
"ENSOARG00000008791",7.93276353825985,7.68423549000959,423.487399031618,1.39011051115543e-21,7.45687779886193e-18,NA
"ENSOARG00000015802",5.86542001684239,2.89490690576283,418.218488552059,1.7138465924897e-21,7.45687779886193e-18,"PCLO"
"ENSOARG00000019349",3.62391917988137,6.7679738578425,415.263761141089,1.92940580291393e-21,7.45687779886193e-18,"CSF1"
"ENSOARG00000020576",6.93027631192973,3.97179468904133,403.985969019792,3.05463710597471e-21,1.033001903313e-17,"CCL20"
"ENSOARG00000016195",4.20243693156094,5.07068344447778,367.421368764649,1.47590360915811e-20,4.43656624912927e-17,"ZNF385A"
"ENSOARG00000006001",10.0636775093819,6.09630076738576,361.580265303299,1.92339672825764e-20,5.20355750862821e-17,NA
"ENSOARG00000019098",3.99412090463996,6.79631808743356,337.747801980317,5.90976198821068e-20,1.45347909844592e-16,"RND1"
"ENSOARG00000000569",4.51079167399403,6.63261231358662,332.821481919614,7.52003273559679e-20,1.6953913802403e-16,"TNFAIP3"
"ENSOARG00000006704",2.48284651540975,6.45861030090504,328.06053152158,9.52130766981568e-20,1.98145736691687e-16,"ETV3"
"ENSOARG00000004964",4.47808010271594,7.56114778963598,322.717934692918,1.24538928964643e-19,2.4066258458639e-16,"CCL5"
"ENSOARG00000005209",3.92627131443157,5.73437419780355,320.307911173277,1.40759516896116e-19,2.53873864673835e-16,"SDC4"
"ENSOARG00000008597",2.65122996332289,5.08772995681187,309.260689344872,2.49414172128289e-19,4.2172818829742e-16,"SGMS2"
"ENSOARG00000018703",3.76516146944913,3.00349690573225,300.460265466748,3.98664786491859e-19,6.32029243572011e-16,"APOL3"
"ENSOARG00000004186",5.57665742994747,1.81666663858986,298.486741340352,4.43627388875806e-19,6.32029243572011e-16,"FAM13C"
"ENSOARG00000015169",2.65501115131223,10.0167108939723,298.4765262395,4.43873572405863e-19,6.32029243572011e-16,"IFIT2"
"ENSOARG00000018242",5.43372760813887,2.45736852373041,295.52385406704,5.21450843132154e-19,7.05366555504864e-16,NA
"ENSOARG00000016736",2.8845630113964,5.04836091595178,287.416432378973,8.17625388885724e-19,1.05333510813878e-15,"DUSP19"
"ENSOARG00000015656",2.31308928764565,8.79289130890981,280.652618665855,1.20037651260881e-18,1.47613573509631e-15,"ICAM1"
"ENSOARG00000007579",3.6573635434186,2.11600765351654,275.495409872364,1.61766238201593e-18,1.902792960133e-15,"MYOZ3"
"ENSOARG00000014087",6.80493404662367,3.37549374380981,268.284343986736,2.47579196151848e-18,2.79083648862171e-15,"SCN4A"
"ENSOARG00000014916",3.3350712317836,4.41520038484069,264.085992395738,3.18681137644629e-18,3.44863979913511e-15,"CSRP2"
"ENSOARG00000019372",2.60640959580817,4.7379788304036,254.688398567225,5.68150440983651e-18,5.91182385783527e-15,"VDR"
"ENSOARG00000012258",5.81821431914368,3.4634565109229,249.329755845866,7.96746842537317e-18,7.98340336222392e-15,"HSD17B14"
"ENSOARG00000016584",2.51087421123882,4.8014387229381,248.552059835732,8.37265645978078e-18,8.08978028081819e-15,"FAM171B"
"ENSOARG00000015781",5.30534513943628,4.49923097475705,247.75966463229,8.80793753231599e-18,8.2168945516992e-15,"ICAM4"
"ENSOARG00000002320",2.995115447711,3.71506249022698,245.138524252977,1.04261886011714e-17,9.40233688053641e-15,"LSMEM1"
"ENSOARG00000006356",2.42580287274839,8.24080566707613,243.504562950255,1.1591414604942e-17,1.0115939700713e-14,"BIRC3"
"ENSOARG00000007045",2.08249204954864,5.9543905346879,241.028401108463,1.36263624630814e-17,1.15202378148814e-14,"TAF4B"
"ENSOARG00000012119",5.00340974088242,2.77554471110865,238.668010283398,1.59194599624376e-17,1.30510627219329e-14,"IL15"
"ENSOARG00000015776",2.12954237664769,5.57914143775864,237.553905348802,1.71401188199343e-17,1.363849336925e-14,"C21orf91"
"ENSOARG00000012673",2.76333288805808,5.38444563105919,235.40924837892,1.97765018270299e-17,1.51574987939364e-14,"RCAN1"
"ENSOARG00000014496",4.51677278294094,6.85776006968039,235.115494163894,2.01696590737677e-17,1.51574987939364e-14,"CXCL8"
"ENSOARG00000010098",1.61806668641995,6.99048479337469,231.775235639152,2.52678799311307e-17,1.84756006393732e-14,"CDC40"
"ENSOARG00000011009",2.2223253731805,3.57667831417446,229.853191329552,2.88032859236937e-17,2.05064236152529e-14,"TEX14"
"ENSOARG00000003870",4.42740151720159,3.34145249627299,226.720054459273,3.5730753170951e-17,2.47523019917746e-14,"AOC2"
"ENSOARG00000004253",12.1694319479352,3.86411898918363,244.626733571604,3.65968832583345e-17,2.47523019917746e-14,"CCL4"
"ENSOARG00000003352",2.84302339183177,6.31820439307407,223.717311619439,4.4035651722113e-17,2.90570858948792e-14,NA
"ENSOARG00000012718",1.93448403151887,7.96417093292778,221.715585857313,5.06870005941773e-17,3.26496693827351e-14,"NFKB1"
"ENSOARG00000014729",2.95148907903503,6.60495424267773,217.637359059833,6.77408850417534e-17,4.26200442771999e-14,"CD68"
"ENSOARG00000015786",4.36033872694411,5.39223616112852,215.258599318224,8.04007568676852e-17,4.94355017340536e-14,"ICAM5"
"ENSOARG00000016207",7.68441964006534,1.76502488197136,210.870301499262,1.10765423666503e-16,6.65921727083019e-14,"GPR84"
"ENSOARG00000012344",3.16451574564093,9.14873663266178,207.589223956095,1.41277517042624e-16,8.30896075232858e-14,"PPP1R15A"
"ENSOARG00000021022",1.96820282096279,6.88572838242961,206.913730603446,1.48595286607581e-16,8.55339762527976e-14,"SNX27"
"ENSOARG00000013480",2.01775065443554,6.1228778373663,204.260704636918,1.81443114808897e-16,1.02265875584164e-13,"JAK2"
"ENSOARG00000000269",4.81744262916628,3.27492358236801,203.967168176807,1.85522304250635e-16,1.02431028963198e-13,"RASGEF1B"
"ENSOARG00000006322",5.54619874315848,4.71507293996537,200.933698738701,2.33819159228331e-16,1.26514870675265e-13,"LIF"
"ENSOARG00000009627",5.75101154565728,4.4453757237118,196.525774391956,3.29018383641128e-16,1.74534575510335e-13,"CCL2"
"ENSOARG00000018902",2.43468277151179,3.14712636429768,195.882826234862,3.46013531398115e-16,1.77546475792281e-13,"ESPNL"
"ENSOARG00000015078",1.9144349320769,6.87482284474372,195.816397543321,3.4782151315853e-16,1.77546475792281e-13,"IRF1"
"ENSOARG00000021005",4.80777992043372,1.69304902034333,195.15689696334,3.66321443162143e-16,1.83527043024234e-13,""
"ENSOARG00000000744",6.70475100474144,2.80915507928724,192.972752511857,4.35372519891467e-16,2.14155784602613e-13,"LAMC2"
"ENSOARG00000010139",2.89003972410752,3.07578519850354,190.946809240021,5.11767531302582e-16,2.47238549854644e-13,"WASF1"
"ENSOARG00000014648",2.69769625481789,10.1773570298073,190.674519427235,5.23066926849509e-16,2.4826408138573e-13,"RSAD2"
"ENSOARG00000007878",1.63952737428483,5.78439645627277,186.957430528366,7.06626535954698e-16,3.29604729374455e-13,"NCOA7"
"ENSOARG00000004489",2.63528714873353,4.59456043195437,186.156605975178,7.54432496302092e-16,3.42264544095745e-13,"EGR2"
"ENSOARG00000016852",1.60708449096014,6.66486788068448,186.081791257266,7.59069736295731e-16,3.42264544095745e-13,"CFLAR"
"ENSOARG00000002251",3.30708609474048,4.81352362940325,184.985264850977,8.3059771290425e-16,3.68376893851009e-13,"IDO1"
"ENSOARG00000007169",2.94378469178619,5.76105509640402,183.448099695588,9.43072983634789e-16,4.11514459665413e-13,"KLF4"
"ENSOARG00000004971",2.50743067943022,5.65056533374127,181.035221160425,1.15321159926555e-15,4.95222009627463e-13,"IRAK2"
"ENSOARG00000009868",1.48285229911806,5.37723662276348,179.764757297478,1.28322292671837e-15,5.4244239155373e-13,"MICA"
"ENSOARG00000005737",5.15977679285842,3.09664702238886,176.6374691663,1.67371019405591e-15,6.96623932153672e-13,"RASSF5"
"ENSOARG00000006287",6.58691929385081,1.41718930324588,175.650035117083,1.82165101070724e-15,7.46711309752633e-13,"BSPRY"
"ENSOARG00000014901",4.7181472830042,2.27978317734572,171.160931018555,2.69093064344332e-15,1.08657369593605e-12,"MYB"
"ENSOARG00000020840",9.43627051914652,1.02802378157982,197.046584069691,2.75717644139113e-15,1.09695075654994e-12,""
"ENSOARG00000011085",2.28455320487648,4.53093861018034,170.287246780748,2.90608115176081e-15,1.13943651419909e-12,"CCDC120"
"ENSOARG00000017814",2.24710276487539,3.92041573126102,169.104414786593,3.22671469058968e-15,1.24707913198876e-12,"ARL5B"
"ENSOARG00000006142",1.94876691089759,10.0783356030877,168.211208054361,3.49348534147632e-15,1.33116552715916e-12,"IFIH1"
"ENSOARG00000009417",3.09272811881532,3.10876916976923,167.810466545509,3.62064641055156e-15,1.36045788876475e-12,"COL10A1"
"ENSOARG00000005557",1.41305950866295,8.49885717121777,166.251634241219,4.16368838615539e-15,1.54307432327463e-12,"PLSCR1"
"ENSOARG00000007591",1.73316159012071,6.84173522637727,165.502462278385,4.45465718146401e-15,1.62859858631523e-12,"NLRP3"
"ENSOARG00000001757",2.03481008080782,5.82885214958315,164.585582080243,4.84024218614606e-15,1.74597216138661e-12,"FOXS1"
"ENSOARG00000000675",3.49440209457797,4.12935167560815,161.57546329624,6.37389043761313e-15,2.24825221170544e-12,"ARFGEF3"
"ENSOARG00000013509",3.53334881298382,8.45528010698077,161.532992333132,6.39888446445327e-15,2.24825221170544e-12,"CD274"
"ENSOARG00000015505",3.35098515315049,3.20763524056945,160.487899811681,7.04765694392388e-15,2.41793510930946e-12,"KLF5"
"ENSOARG00000002035",1.98647783972993,10.2364955089849,160.468131229482,7.0605778677995e-15,2.41793510930946e-12,"WARS"
"ENSOARG00000017741",1.36797613813605,8.04939626763423,160.229059166893,7.21883185770952e-15,2.44122846348092e-12,"RBBP6"
"ENSOARG00000008526",1.82616164533537,6.12698223229703,159.400924096903,7.79659121399715e-15,2.60406146547505e-12,"PIK3AP1"
"ENSOARG00000015236",1.61687875240103,5.30161714822269,158.854338805509,8.20450848393385e-15,2.7068874698091e-12,"MAFF"
"ENSOARG00000016840",2.33074294260754,3.58290798612958,156.807062061382,9.9441560142549e-15,3.24131562421267e-12,"PRRG4"
"ENSOARG00000016922",1.45963677882973,7.96923745744808,153.148655666242,1.4094601127446e-14,4.53946832026102e-12,"CASP8"
"ENSOARG00000025856",4.05863866541622,2.1678334030972,152.458099341378,1.50652856216039e-14,4.79501455537497e-12,NA
"ENSOARG00000020961",2.21503756248411,5.89851725825159,151.20849340129,1.70055383189091e-14,5.34962597302056e-12,"MARCKSL1"
"ENSOARG00000007502",2.44926238443892,8.55971669858678,149.097845010818,2.0905675156349e-14,6.50094408827433e-12,"NFKBIA"
"ENSOARG00000025785",1.6847534121818,4.27806096004857,148.484622300907,2.22080686004491e-14,6.82746690814261e-12,NA
"ENSOARG00000020472",1.19847015076109,6.41171683411111,147.222012346766,2.51668856992722e-14,7.65016770458551e-12,"CLDN1"
"ENSOARG00000005315",3.90688855352722,3.33245868522411,146.929392877763,2.59102744985169e-14,7.78862851425418e-12,NA
"ENSOARG00000002241",2.37833254135206,6.37143863967593,146.422032232254,2.72546555658336e-14,8.10271924920947e-12,"CSRNP1"
"ENSOARG00000011167",1.94587177283782,6.76591701884033,142.704945940087,3.96543834236713e-14,1.16609748820001e-11,"CMTR2"
"ENSOARG00000016259",2.0807069809859,4.21249776508766,142.46766855582,4.06258187093295e-14,1.18181817135721e-11,"INPP1"
"ENSOARG00000016668",4.12786723828642,1.67200221976739,141.751634929131,4.37125874083855e-14,1.25808546781538e-11,"CXCL11"
"ENSOARG00000013620",1.31125491688611,7.60819493628362,140.217883092649,5.11879975632793e-14,1.4577264063968e-11,"ADGRL2"
"ENSOARG00000012999",1.92654348558731,5.44100230969322,139.501631007153,5.51305140903554e-14,1.55364680020883e-11,"ZC3H12C"
"ENSOARG00000012705",2.88610444579192,3.03600287158862,139.041447524976,5.78316338524153e-14,1.61296600231262e-11,"ALDH1A1"
"ENSOARG00000010493",3.0146937485031,7.7307272698104,138.64405068306,6.02766197427945e-14,1.66400374543017e-11,"ATF3"
"ENSOARG00000006010",6.45220628760834,1.67498496376392,145.645779855842,6.91257615790921e-14,1.88901853915228e-11,NA
"ENSOARG00000000530",1.7197249420836,8.7257871922031,136.914996414985,7.22564468867197e-14,1.95482591407331e-11,"HERC5"
"ENSOARG00000016617",1.57047549367516,9.23165726825665,135.89804323324,8.04547834510077e-14,2.15507298166689e-11,"TRANK1"
"ENSOARG00000017093",2.35681946365312,5.80541890857298,132.848719961464,1.11478926151728e-13,2.95267265864545e-11,"SPRY1"
"ENSOARG00000001505",1.84229923297048,6.95697659599761,132.771328533334,1.12414165683626e-13,2.95267265864545e-11,"HIVEP2"
"ENSOARG00000017581",1.99913576919958,6.76150474293426,132.458548471385,1.16279161433692e-13,3.02482349367991e-11,"KDM6B"
"ENSOARG00000015297",2.04231557341303,7.92541549483268,131.555056321607,1.28251813970084e-13,3.27597197700148e-11,"GBP5"
"ENSOARG00000008960",2.56418843200602,2.64764004225352,131.547624800369,1.28355522126915e-13,3.27597197700148e-11,"LRFN5"
"ENSOARG00000017097",1.60924127689803,5.02796647273436,130.085712292344,1.50583530742653e-13,3.80737087916984e-11,"PPTC7"
"ENSOARG00000003008",2.4112618927608,5.12377709398003,126.784759218162,2.17113446550878e-13,5.4386918360995e-11,"SESN2"
"ENSOARG00000011788",4.79500388491526,2.01598097846459,126.45572728148,2.25270370279242e-13,5.59125192434368e-11,"KCNJ14"
"ENSOARG00000005562",1.4382665075284,7.70733446565888,125.15627494763,2.6078515469705e-13,6.41389234106726e-11,"PCF11"
"ENSOARG00000005904",6.63872917392261,0.327873216536869,131.009771531689,2.98487329688546e-13,7.2750236192738e-11,"CCDC178"
"ENSOARG00000012967",1.32318519489419,6.68883780159089,123.583741728672,3.11829656634616e-13,7.53235672374366e-11,"AKIRIN2"
"ENSOARG00000017527",2.7542499900984,3.03986597645872,123.475623739879,3.15706412364379e-13,7.55851440717336e-11,"ADHFE1"
"ENSOARG00000015177",1.7342180571372,11.2245096076043,123.368521565081,3.19596923985019e-13,7.58453963288658e-11,"IFIT1"
"ENSOARG00000001815",1.9071945062807,7.55074327254824,122.309467676569,3.60906685831703e-13,8.49040824216599e-11,"IRF4"
"ENSOARG00000012296",1.61735731041825,7.91283504341475,122.165480384375,3.66944151604743e-13,8.55802334268511e-11,"PLEKHA4"
"ENSOARG00000013575",1.99872641645141,5.46697603698502,122.088130510908,3.70231396380683e-13,8.56088905784871e-11,"FUZ"
"ENSOARG00000015072",2.06143800844043,6.73742617705489,120.820151283741,4.28786205286062e-13,9.83083220153314e-11,"GBP1"
"ENSOARG00000017502",1.83410771942154,3.9504620419855,120.237654402101,4.58890897964239e-13,1.03476287887856e-10,NA
"ENSOARG00000006947",1.93414117436166,6.19996814434168,120.236053211022,4.58976659515885e-13,1.03476287887856e-10,"ITPKC"
"ENSOARG00000012028",1.60726653399143,6.11638705619501,119.767595491278,4.84809034846896e-13,1.08396889493785e-10,NA
"ENSOARG00000007082",2.39900246265737,2.38390351688715,118.806352309856,5.42740816247088e-13,1.20355000350399e-10,"STAC3"
"ENSOARG00000009241",4.45508687825456,3.28449097941651,118.650296734741,5.528152389595e-13,1.21592385974068e-10,"CCL8"
"ENSOARG00000003826",1.43761779597672,5.96653266513792,118.335267687451,5.73758585925168e-13,1.25181167609835e-10,"NUAK2"
"ENSOARG00000014925",2.9224770768573,2.23923938669382,117.949370760591,6.0056030042239e-13,1.29980466941019e-10,"MC1R"
"ENSOARG00000000355",2.87586957625161,2.24118966051911,117.513077535244,6.32461174671266e-13,1.35798449361559e-10,"AGER"
