"","BTV.1-2006_6h.
N=459","BTV.1-2013_6h.
N=598","BTV.8-2017_6h.
N=612","gene_names"
"ENSOARG00000005821",1,1,1,"PMAIP1"
"ENSOARG00000004964",1,1,1,"CCL5"
"ENSOARG00000015169",1,1,1,"IFIT2"
"ENSOARG00000018703",1,1,1,"-"
"ENSOARG00000015656",1,1,1,"ICAM-1"
"ENSOARG00000002251",1,1,1,"IDO1"
"ENSOARG00000014648",1,1,1,"RSAD2"
"ENSOARG00000018902",1,1,1,"ESPNL"
"ENSOARG00000000269",1,1,1,"RASGEF1B"
"ENSOARG00000015776",1,1,1,"C21orf91"
"ENSOARG00000011009",1,1,1,"-"
"ENSOARG00000012119",1,1,1,"IL15"
"ENSOARG00000015078",1,1,1,"IRF1"
"ENSOARG00000007045",1,1,1,"TAF4B"
"ENSOARG00000001757",1,1,1,"FOXS1"
"ENSOARG00000016922",1,1,1,"CASP8"
"ENSOARG00000017741",1,1,1,"RBBP6"
"ENSOARG00000009627",1,1,1,"CCL2"
"ENSOARG00000002035",1,1,1,"WARS"
"ENSOARG00000006322",1,1,1,"LIF"
"ENSOARG00000002744",1,1,1,"-"
"ENSOARG00000018834",1,1,1,"NLRC5"
"ENSOARG00000015072",1,1,1,"-"
"ENSOARG00000010098",1,1,1,"CDC40"
"ENSOARG00000020472",1,1,1,"CLDN1"
"ENSOARG00000005557",1,1,1,"-"
"ENSOARG00000020961",1,1,1,"MARCKSL1"
"ENSOARG00000006142",1,1,1,"IFIH1"
"ENSOARG00000002839",1,1,1,"-"
"ENSOARG00000015177",1,1,1,"IFIT1"
"ENSOARG00000013509",1,1,1,"CD274"
"ENSOARG00000016617",1,1,1,"TRANK1"
"ENSOARG00000000530",1,1,1,"HERC5"
"ENSOARG00000009537",1,1,1,"DUSP5"
"ENSOARG00000001815",1,1,1,"-"
"ENSOARG00000010139",1,1,1,"WASF1"
"ENSOARG00000019372",1,1,1,"VDR"
"ENSOARG00000016852",1,1,1,"CFLAR"
"ENSOARG00000020788",1,1,1,"RAB8B"
"ENSOARG00000020215",1,1,1,"-"
"ENSOARG00000015954",1,1,1,"SPATS2L"
"ENSOARG00000013480",1,1,1,"JAK2"
"ENSOARG00000009194",1,1,1,"ATP10A"
"ENSOARG00000015297",1,1,1,"GBP5"
"ENSOARG00000009868",1,1,1,"-"
"ENSOARG00000011043",1,1,1,"ZC3HAV1"
"ENSOARG00000003352",1,1,1,"NFIL3"
"ENSOARG00000008349",1,1,1,"TACSTD2"
"ENSOARG00000012296",1,1,1,"PLEKHA4"
"ENSOARG00000011167",1,1,1,"CMTR2"
"ENSOARG00000007573",1,1,1,"-"
"ENSOARG00000010089",1,1,1,"TMEM55A"
"ENSOARG00000015467",1,1,1,"DRAM1"
"ENSOARG00000020495",1,1,1,"RTP4"
"ENSOARG00000020996",1,1,1,"ATP8B4"
"ENSOARG00000025785",1,1,1,"-"
"ENSOARG00000015786",1,1,1,"ICAM5"
"ENSOARG00000019272",1,1,1,"-"
"ENSOARG00000012673",1,1,1,"RCAN1"
"ENSOARG00000015414",1,1,1,"-"
"ENSOARG00000015270",1,1,1,"TRIM56"
"ENSOARG00000009154",1,1,1,"STAT2"
"ENSOARG00000010493",1,1,1,"ATF3"
"ENSOARG00000020153",1,1,1,"DTX3L"
"ENSOARG00000017662",1,1,1,"-"
"ENSOARG00000011085",1,1,1,"CCDC120"
"ENSOARG00000015432",1,1,1,"-"
"ENSOARG00000001138",1,1,1,"-"
"ENSOARG00000018978",1,1,1,"RNASEL"
"ENSOARG00000000175",1,1,1,"SOCS3"
"ENSOARG00000013309",1,1,1,"IFNAR2"
"ENSOARG00000007738",1,1,1,"TAP1"
"ENSOARG00000001588",1,1,1,"-"
"ENSOARG00000014137",1,1,1,"MAT2B"
