"","parameters","variable","importance"
"1","BTM:activated.dendritic.cells.","six_states",0.378555659583855
"2","BTM:B.cell.surface.signature.S","six_states",0.288408484664548
"3","BTM:combine(innate.activation.","six_states",0.343439338062335
"4","BTM:combine(TBA.M137.TBA.M180.","six_states",0.337431431011516
"5","BTM:DC.surface.signature.S5.","six_states",0.411970942915153
"6","BTM:enriched.in.B.cells.V.M47.","six_states",0.273825051873624
"7","BTM:enriched.in.myeloid.cells.","six_states",0.282103511746828
"8","BTM:extracellular.matrix.II.M2","six_states",0.329902511261482
"9","BTM:growth.factor.induced.enri","six_states",0.315437496713093
"10","BTM:integrin.mediated.leukocyt","six_states",0.377081268151097
"11","BTM:Naive.B.cell.surface.signa","six_states",0.376997770482369
"12","BTM:phosphatidylinositol.signa","six_states",0.437713998972164
"13","BTM:platelet.activation.actin.","six_states",0.287304992852718
"14","BTM:proinflammatory.dendritic.","six_states",0.447630778576063
"15","BTM:putative.targets.of.PAX3.M","six_states",0.466322721896679
"16","BTM:TBA.M148.","six_states",0.315397318245281
"17","BTM:TBA.M186.","six_states",0.344523947005275
"18","BTM:TBA.M205.","six_states",0.317663691864059
"19","BTM:TBA.M242.","six_states",0.291775162092792
"20","BTM:TBA.M248.","six_states",0.294284202226386
"21","BTM:transcription.regulation.i","six_states",0.285555955334782
"22","BTM:translation.initiation.fac","six_states",0.572952232408176
"23","Colesterolo","six_states",0.729068742461812
"24","Glucosio","six_states",0.272986249211974
"25","IP.10","six_states",0.502357640912334
"26","lung_pos_cells","six_states",0.556466213243848
"27","Proteine.Totali","six_states",0.729144817170045
"28","seg10BTVPCRcopiesper1ml_new","six_states",0.800489620481079
"29","BTM:combine(RIG.1.like.recepto","six_states",0.646932895600845
"30","BTM:TBA.M72.1.","six_states",0.4101175541109
"31","IFN_y","six_states",0.446510044670881
"32","BTM:TBA.M203.","six_states",0.386703987663992
"33","BTM:T.cell.activation.II.M7.3.","six_states",0.310394319920589
"34","BTM:mismatch.repair.II.M22.1.","six_states",0.338276035534862
"35","BTM:enriched.in.B.cells.IV.M47","six_states",0.234497580760582
"36","BTM:activated.dendritic.cells.","four_states",0.707171217087944
"37","BTM:B.cell.surface.signature.S","four_states",NA
"38","BTM:combine(innate.activation.","four_states",0.215043244498041
"39","BTM:combine(TBA.M137.TBA.M180.","four_states",NA
"40","BTM:DC.surface.signature.S5.","four_states",0.706901032336091
