"","BTM:CCR1..7.and.cell.signaling..M59.","BTM:cell.adhesion..M51.","BTM:cell.cycle..mitotic.phase..M230.","BTM:combine( TBA..M137. TBA..M180. )","BTM:enriched.in.D..interacting.proteins..M182.","BTM:enriched.in.myeloid.cells.and.monocytes..M81.","BTM:extracellular.matrix..collagen..M210.","BTM:extracellular.matrix..II...M2.1.","BTM:growth.factor.induced..enriched.in.nuclear.receptor.subfamily.4..M94.","BTM:immuregulation...monocytes..T.and.B.cells..M57.","BTM:integrin.mediated.leukocyte.migration..M39.","BTM:mitosis..TF.motif.CCAATNNSNNNGCG...M169.","BTM:platelet.activation...actin.binding..M196.","BTM:platelet.activation..I...M32.0.","BTM:proinflammatory.cytokines.and.chemokines..M29.","BTM:putative.targets.of.PAX3..M89.0.","BTM:RA..WNT..CSF.receptors.network..monocyte...M23.","BTM:regulation.of.localization..GO...M63.","BTM:TBA..M121.","BTM:TBA..M148.","BTM:TBA..M186.","BTM:TBA..M211.","BTM:TBA..M79.","BTM:TBA..source..B.cells...M217.","BTM:translation.initiation.factor.3.complex..M245.","Colesterolo","Creatina.Chinasi..CK.","GOT.AST.","Proteine.Totali","seg10BTVPCRcopiesper1ml_new"
"SMC-56",1.29330579961007e-05,6.96392141663615e-06,9.84811086610637e-05,0.000146189646851758,4.44360458280446e-05,2.31732714608412e-05,6.04297925514974e-05,5.07350461067535e-05,7.16291472580011e-06,0.000152612504799254,3.35760138676644e-05,0.000104450400391309,3.97941448904149e-06,9.39911703785601e-05,7.46143594132498e-06,3.97942438623566e-06,1.64149270336367e-05,6.80450551717726e-05,0.000404632168357733,3.79841867648167e-05,7.90848316547521e-05,0.000105621320888982,5.96911134120859e-06,2.98456235126032e-06,0.000728582078986628,99,72,100,7.3,0
"SMC-55",2.05408572100385e-05,4.79290095145579e-06,0.000101051291722332,0.000151957065897657,4.47329929322837e-05,2.31991531629561e-05,5.44278933007902e-05,4.0567158896998e-05,1.64329895557813e-06,7.04235123487607e-05,1.43788224018504e-05,9.21383381575769e-05,6.39058471252341e-06,5.38116627486485e-05,0,2.73883309276357e-06,1.84867795078869e-05,2.38276468476073e-05,0.000257583637058634,4.48146401343941e-05,6.16200235263875e-05,6.57227524323289e-05,2.05412411635741e-06,2.05412411635741e-06,0.000858978654956877,96,129,145,8,0
"SMC-54",1.46551619228941e-05,7.99367966530795e-06,7.11362411662808e-05,0.000127858349463716,3.81914149334417e-05,2.58604966378861e-05,5.49476392583959e-05,2.74777701487761e-05,1.27897477424366e-05,3.99682720884087e-05,1.69866709611721e-05,8.4500445509228e-05,3.55278359487343e-06,6.31377002882072e-05,1.39889467363208e-05,1.33229503140875e-06,1.99839648808986e-05,4.15656362653394e-05,0.000211688651521769,3.70604163453248e-05,6.79435591677269e-05,6.07443389397666e-05,6.99452877994666e-06,1.99844321269183e-06,0.000941970876262577,89,146,105,7.2,0
"SMC-53",1.14051799031678e-05,1.24417022129286e-05,0.000109477290154869,0.000166484471489259,4.56192254578713e-05,4.4275186686038e-05,3.03248556028368e-05,4.85986033604835e-05,2.48840868133371e-06,8.79775557949269e-05,1.78853525589773e-05,0.000101306606929752,7.60347321637767e-06,5.03824929312113e-05,1.71077992838775e-05,5.18417883998978e-06,1.39971278270146e-05,3.7325162776769e-05,0.00026263727533582,4.01507750882324e-05,4.97665541325798e-05,6.84187889963273e-05,4.66574233159989e-06,3.11050214385489e-06,0.00080695448243584,67,59,113,5.3,0
"SMC-52",1.09880240639626e-05,9.41822819888749e-06,0.000111122784758333,0.000137385760580644,4.81368360882861e-05,1.55120544320653e-05,3.88466916059205e-05,5.00327429668879e-05,5.65101941263357e-06,9.68598687711708e-05,2.35458661732579e-05,9.95622555399756e-05,2.0929631441291e-06,8.56865513425564e-05,9.41834646872586e-06,4.70918062633885e-06,1.64816600494166e-05,4.52063086859855e-05,0.000480777308350389,3.93848020512344e-05,8.24055399666346e-05,9.32197369822862e-05,1.17729677362455e-06,0,0.00081764079976554,112,124,119,8.2,0
"SMC-51",1.75643328876873e-05,9.66023940707217e-06,9.69463763811351e-05,0.000134095320443617,4.56669002706356e-05,2.10759000198735e-05,5.0050761968734e-05,5.40082414650644e-05,8.43091680491348e-06,0.000106877181603293,2.3711683504013e-05,7.07578500482864e-05,2.34192037473768e-06,9.16669205479614e-05,5.26935632172432e-06,3.51290112932112e-06,1.71250097913411e-05,6.42825692416249e-05,0.00045121359318312,3.44890088448402e-05,7.37651585358545e-05,9.69368306644736e-05,1.18559380599681e-05,0,0.000864064536448161,117,91,128,7.9,0
"SMC-50",1.56224731060473e-05,1.04149579649437e-05,0.000106222559058011,0.000143408692895974,5.43890137327807e-05,2.02170881105079e-05,4.81624272219427e-05,5.07699623284452e-05,8.33197938776564e-06,0.000126448330284301,2.21318577100504e-05,8.85246366459924e-05,6.94329928396797e-06,8.53830186373639e-05,5.2075332177548e-06,3.47168579861723e-06,1.17168319488936e-05,4.16584653151197e-05,0.000345926554888631,3.97657661825868e-05,0.000114554235256525,8.64295152542827e-05,3.90565415053779e-06,0,0.000853057942182378,97,106,174,7.4,0
"SLC-36",7.0950416302118e-06,1.53722679017143e-05,0.000191523540038263,0.000200839123049468,6.30653787681013e-05,2.25360475112346e-05,4.43408534520628e-05,0.000108629032018692,4.25700383566152e-06,5.37173405419367e-05,5.409717308269e-05,0.000120604269864932,1.65547140167366e-05,0.00010462541639833,1.06425309835956e-05,4.73001377043758e-06,2.66056840967366e-05,4.11497827899066e-05,0.000514488150138659,8.44892599558555e-05,9.2224368114513e-05,0.000153910189736539,1.06424806463057e-05,5.32128279573385e-06,0.000555958232166809,21,122,121,6.1,0
"SLC-37",1.13431574533251e-05,1.37061150029538e-05,0.000150841907864185,0.000208730029501725,5.10426959676735e-05,3.06912497907152e-05,4.89116814652579e-05,0.000117310963879236,3.40293855094487e-06,7.61571277554385e-05,6.38023169072799e-05,0.000132464141711974,1.89049425542986e-05,8.44916498929926e-05,9.9252376415393e-06,9.45264908125409e-07,2.97750032980382e-05,3.74319059286421e-05,0.000520257362246701,7.01168425853993e-05,9.92433012521055e-05,0.000168951137815121,1.701460349679e-05,1.41789769725342e-06,0.000494534183966389,22,138,121,6.3,0
"SLC-38",1.54311350657466e-05,1.49488453591307e-05,0.000175305064574083,0.000217706994187328,4.37209084234169e-05,4.08448663538064e-05,3.03780864097103e-05,0.000161252984267612,6.94403991152726e-06,6.19973540394447e-05,5.35261756799965e-05,0.000109527179276592,2.12176735239211e-05,9.83515965120585e-05,1.15733289758335e-05,6.75115577397634e-06,2.67629871224528e-05,5.03420419015743e-05,0.000537257651702872,6.99631373333176e-05,0.000104147808301036,0.000181059309001919,1.22965728339697e-05,2.8933552649324e-06,0.000506013711276898,33,101,67,6.2,0
