"","BTM:combine( RIG.1.like.receptor.signaling..M68. viral.sensing...immunity..IRF2.targets.network..II...M111.1. type.I.interferon.response..M127. innate.antiviral.response..M150. Activated..LPS..dendritic.cell.surface.signature..S11. antiviral.IFN.signature..M75. TBA..M131. enriched.in.activated.dendritic.cells..II...M165. )","seg10BTVPCRcopiesper1ml_new","IFN_y","BTM:Naive.B.cell.surface.signature..S8.","Proteine.Totali","BTM:TBA..M72.1.","BTM:proinflammatory.dendritic.cell..myeloid.cell.response..M86.1.","BTM:T.cell.activation..II...M7.3.","BTM:mismatch.repair..II...M22.1.","BTM:activated.dendritic.cells..M67.","BTM:TBA..M203.","BTM:proteasome..M226.","lung_pos_cells","BTM:enriched.in.B.cells..V...M47.4.","BTM:enriched.in.B.cells..IV...M47.3.","BTM:DC.surface.signature..S5.","BTM:enriched.in.NK.cells..I...M7.2."
"SMC-56",0.000144368555354157,0,1.36,3.34264135675166e-05,7.3,0.000660606266807973,9.88111714308459e-05,0.000120532266046247,5.91914710950103e-05,0.000487187598763317,5.17303408131831e-05,0.000143248270843221,0.0109540625,7.82545708075677e-05,0.00013944342393768,2.61817860067737e-05,8.70797000198653e-05
"SMC-55",0.000126360529284275,0,1.33,2.9989112127371e-05,8,0.000730428006440409,0.000109530897280496,0.000107115844790284,5.06647833209417e-05,0.000329604942779671,6.02508460458839e-05,0.000198676354624894,0.021605475,5.75125473263327e-05,6.57276210733748e-05,2.48351178000483e-05,7.16172508177237e-05
"SMC-54",0.000141102545808014,0,1.56,2.63787304741747e-05,7.2,0.000661234979248082,0.000111894594692297,0.000136153610133638,4.7292593149173e-05,0.000262492070843168,3.93010907822067e-05,0.000144605732673497,0.02122818,8.43658628810751e-05,0.000103179191490721,1.78039388791795e-05,0.000100124215697495
"SMC-53",0.000159564056731787,0,6.42,3.39018659332169e-05,5.3,0.00071237891319198,0.000152731366247272,0.000123895796224405,4.66545463264634e-05,0.00033393658548464,5.18391604007462e-05,0.000192837839543269,0.0109149,7.11902548986565e-05,0.000136836252532024,2.68615234972902e-05,9.13503904278468e-05
"SMC-52",0.000144689098388717,0,1.26,4.23802575464372e-05,8.2,0.000706734480102389,0.00010149130800019,0.000138577324952482,5.33677156235868e-05,0.000565630280512597,5.17985477670457e-05,0.000178936020017062,0.00990543,0.000123459678218918,0.000140396384542552,2.76117009516685e-05,0.00010443599300114
"SMC-51",0.00015010349063993,0,1.36,4.1625145850821e-05,7.9,0.000701378305743017,9.36666577087131e-05,0.000142408822290996,5.3568419041472e-05,0.000541291691944945,6.32292775282206e-05,0.00016860778349681,0.0161804575,6.79110324657284e-05,0.000100587887462034,3.06567763279642e-05,0.000104999179318277
"SMC-50",0.000142518693010185,0,2.5,3.69728934830338e-05,7.4,0.00070554240935583,0.000107600713110223,0.000134096526569483,5.98825527766689e-05,0.00042065442838668,5.20733888840219e-05,0.000195030906837257,0.0161411175,9.60400977416676e-05,0.00014673852834135,2.93501180779199e-05,8.42605134931951e-05
"SLC-36",0.000130029355785322,0,1.59,3.47633437636219e-05,6.1,0.000747980485696687,0.000119803500116866,0.000175605402800594,5.43940216728434e-05,0.00062450411512649,7.50826859030607e-05,0.000163175390796688,0.0566,5.59697974931161e-05,0.000115435657028762,3.16041850929594e-05,9.95045339942102e-05
"SLC-37",0.000161836533587589,0,1.32,2.89233640047293e-05,6.3,0.000733505159646874,0.000139238832998378,0.000142890504447157,5.43487483015692e-05,0.000639175322019625,6.89994552613982e-05,0.000168075316328897,0.146748175,6.11250888544745e-05,9.3312042863003e-05,3.32547850467879e-05,7.92051653248915e-05
"SLC-38",0.000213903372396018,0,1,2.57500235809616e-05,6.2,0.000773317559231934,0.00018064221816827,0.000144631157086073,4.19519413763503e-05,0.00069671997239884,7.37765489358111e-05,0.000143080240652127,0.0858,5.33641633178039e-05,0.000106780097888448,4.20829141316581e-05,7.59269696903875e-05
