"sheep_ID","cow_ID","gene_name","gene_name2"
"ENSOARG00000011547","ENSBTAG00000000009","FOXF1","FOXF1"
"ENSOARG00000018848","ENSBTAG00000000014","TXN2","TXN2"
"ENSOARG00000007994","ENSBTAG00000000025","RAB6A","RAB6A"
"ENSOARG00000012205","ENSBTAG00000000026","VPS33B","VPS33B"
"ENSOARG00000017782","ENSBTAG00000000040","MAFG","MAFG"
"ENSOARG00000011381","ENSBTAG00000000052","PKNOX2","PKNOX2"
"ENSOARG00000006499","ENSBTAG00000000053","FILIP1","FILIP1"
"ENSOARG00000009059","ENSBTAG00000000061","PCDH7","PCDH7"
"ENSOARG00000018357","ENSBTAG00000000065","CRLS1","CRLS1"
"ENSOARG00000015835","ENSBTAG00000000067","SDF2L1","SDF2L1"
"ENSOARG00000004242","ENSBTAG00000000072","TFB2M","TFB2M"
"ENSOARG00000008860","ENSBTAG00000000074","NFIA","NFIA"
"ENSOARG00000011660","ENSBTAG00000000076","RECK","RECK"
"ENSOARG00000003038","ENSBTAG00000000079","CCSAP","CCSAP"
"ENSOARG00000011758","ENSBTAG00000000080","GRWD1","GRWD1"
"ENSOARG00000011788","ENSBTAG00000000082","KCNJ14","KCNJ14"
"ENSOARG00000015062","ENSBTAG00000000090","SEC31B","SEC31B"
"ENSOARG00000015423","ENSBTAG00000000092","HIF1AN","HIF1AN"
"ENSOARG00000002611","ENSBTAG00000000094","ATPAF1","ATPAF1"
"ENSOARG00000013509","ENSBTAG00000000095","CD274","CD274"
"ENSOARG00000004885","ENSBTAG00000000105","RIT1","RIT1"
"ENSOARG00000004975","ENSBTAG00000000108","KHDC4","KHDC4"
"ENSOARG00000020061","ENSBTAG00000000111","UGP2","UGP2"
"ENSOARG00000005093","ENSBTAG00000000113","ARHGEF2","ARHGEF2"
"ENSOARG00000020041","ENSBTAG00000000115","VPS54","VPS54"
"ENSOARG00000017222","ENSBTAG00000000125","SPATA5","SPATA5"
"ENSOARG00000014729","ENSBTAG00000000133","CD68","CD68"
"ENSOARG00000007154","ENSBTAG00000000163","DDIT4","DDIT4"
"ENSOARG00000003310","ENSBTAG00000000186","FLAD1","FLAD1"
"ENSOARG00000003634","ENSBTAG00000000195","ZNF419","ZNF419"
"ENSOARG00000015119","ENSBTAG00000000197","TRMT10A","TRMT10A"
"ENSOARG00000010679","ENSBTAG00000000202","SLC25A19","SLC25A19"
"ENSOARG00000010121","ENSBTAG00000000211","SHROOM2","SHROOM2"
"ENSOARG00000003469","ENSBTAG00000000221","RBM34","RBM34"
"ENSOARG00000013910","ENSBTAG00000000240","AKAP7","AKAP7"
"ENSOARG00000000791","ENSBTAG00000000243","HEBP2","HEBP2"
"ENSOARG00000000810","ENSBTAG00000000245","NHSL1","NHSL1"
"ENSOARG00000002946","ENSBTAG00000000250","HDHD3","HDHD3"
"ENSOARG00000006271","ENSBTAG00000000251","ALAD","ALAD"
"ENSOARG00000012299","ENSBTAG00000000256","TLE1","TLE1"
"ENSOARG00000016210","ENSBTAG00000000266","NAB1","NAB1"
"ENSOARG00000010367","ENSBTAG00000000275","PARP11","PARP11"
"ENSOARG00000003004","ENSBTAG00000000281","MND1","MND1"
"ENSOARG00000019349","ENSBTAG00000000283","CSF1","CSF1"
"ENSOARG00000015231","ENSBTAG00000000285","GUF1","GUF1"
"ENSOARG00000019300","ENSBTAG00000000286","PFKM","PFKM"
"ENSOARG00000014587","ENSBTAG00000000288","UPF2","UPF2"
"ENSOARG00000020665","ENSBTAG00000000290","ATP11B","ATP11B"
"ENSOARG00000002831","ENSBTAG00000000296","IMPDH1","IMPDH1"
"ENSOARG00000012172","ENSBTAG00000000297","ZNF330","ZNF330"
"ENSOARG00000014936","ENSBTAG00000000305","LMO4","LMO4"
"ENSOARG00000015553","ENSBTAG00000000312","GRINA","GRINA"
